"host_display_name","class","date","description","device_id","device_name","driver_key","image","inf","manufacturer","provider","service","service_key","signed","version"
"DC","","","","Microsoft Print to PDF","","","","","","","","","1","2:5.1,2:5.2,2:6.0,2:6.1,2:6.2,2:6.3,2:10.0"
"DC","","","","Microsoft XPS Document Writer","","","","","","","","","1","2:5.1,2:5.2,2:6.0,2:6.1,2:6.2,2:6.3,2:10.0"
"DC","","","","HTREE\\ROOT\\0","","","","","","","","","-1",""
"DC","SYSTEM","1150848000","Volume Manager","ROOT\\VOLMGR\\0000","Volume Manager","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0014","C:\\Windows\\system32\\drivers\\volmgr.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\volmgr.inf_amd64_27fdc49b3d75cec4\\volmgr.inf","Microsoft","Microsoft","volmgr","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\volmgr","1","10.0.14393.0"
"DC","VOLUME","1150848000","Volume","STORAGE\\VOLUME\\{85C14FE7-0FA0-11EC-85C8-806E6F6E6963}#0000000000100000","Volume","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{71a27cdd-812a-11d0-bec7-08002be2092f}\\0000","C:\\Windows\\system32\\drivers\\volume.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\volume.inf_amd64_6b18402fb32f0962\\volume.inf","Microsoft","Microsoft","volume","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\volume","1","10.0.14393.0"
"DC","VOLUME","1150848000","Volume","STORAGE\\VOLUME\\{85C14FE7-0FA0-11EC-85C8-806E6F6E6963}#0000000015F00000","Volume","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{71a27cdd-812a-11d0-bec7-08002be2092f}\\0001","C:\\Windows\\system32\\drivers\\volume.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\volume.inf_amd64_6b18402fb32f0962\\volume.inf","Microsoft","Microsoft","volume","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\volume","1","10.0.14393.0"
"DC","SYSTEM","1150848000","Microsoft Basic Display Driver","ROOT\\BASICDISPLAY\\0000","Microsoft Basic Display Driver","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0015","C:\\Windows\\system32\\drivers\\basicdisplay.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_03131473053c2e09\\basicdisplay.inf","(Standard display types)","Microsoft","BasicDisplay","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\BasicDisplay","1","10.0.14393.1066"
"DC","SYSTEM","1150848000","Composite Bus Enumerator","ROOT\\COMPOSITEBUS\\0000","Composite Bus Enumerator","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\driverstore\\filerepository\\compositebus.inf_amd64_a140581a8f8b58b7\\compositebus.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\compositebus.inf_amd64_a140581a8f8b58b7\\compositebus.inf","Microsoft","Microsoft","CompositeBus","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\CompositeBus","1","10.0.14393.0"
"DC","SYSTEM","1150848000","Microsoft Virtual Drive Enumerator","ROOT\\VDRVROOT\\0000","Microsoft Virtual Drive Enumerator","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97d-e325-11ce-bfc1-08002be10318}\\0013","C:\\Windows\\system32\\drivers\\vdrvroot.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\vdrvroot.inf_amd64_71f5d29e63c70023\\vdrvroot.inf","Microsoft","Microsoft","vdrvroot","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\vdrvroot","1","10.0.14393.2007"
"DC","SCSIADAPTER","1150848000","Microsoft Storage Spaces Controller","ROOT\\SPACEPORT\\0000","Microsoft Storage Spaces Controller","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e97b-e325-11ce-bfc1-08002be10318}\\0000","C:\\Windows\\system32\\drivers\\spaceport.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\spaceport.inf_amd64_be0c78631d2a3101\\spaceport.inf","Microsoft","Microsoft","spaceport","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\spaceport","1","10.0.14393.2248"
"DC","NET","1150848000","Microsoft Kernel Debug Network Adapter","ROOT\\KDNIC\\0000","Microsoft Kernel Debug Network Adapter","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Class\\{4d36e972-e325-11ce-bfc1-08002be10318}\\0001","C:\\Windows\\system32\\drivers\\kdnic.sys","C:\\Windows\\System32\\DriverStore\\FileRepository\\kdnic.inf_amd64_e1703005cc16edf6\\kdnic.inf","Microsoft","Microsoft","kdnic","HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\kdnic","1","10.0.14393.0"
